Trial_Number,Hybrid_Total_Time_Seconds,RRT_Time_Seconds,Grid_AStar_Time,Grid_Dijkstra_Time,,Hybrid_Path_Distance,RRT_Path_Distance,Grid_AStar_Distance,Grid_Dijkstra_Distance,,Hybrid_Nodes_Explored,RRT_Nodes_in_Tree,Grid_AStar_Explored,Grid_Dijkstra_Explored
1,0.04194,0.02528,0.00793,0.00876,,24.441,30.087,25.95,25.95,,815,426,280,310
2,0.04172,0.02429,0.00759,0.00858,,24.252,28.876,25.95,25.95,,776,462,280,310
3,0.04538,0.02777,0.00999,0.01038,,24.851,29.207,25.95,25.95,,815,442,280,310
4,0.04732,0.02994,0.0077,0.00843,,25.513,30.046,25.95,25.95,,826,446,280,310
5,0.03878,0.02353,0.00821,0.01108,,25.328,30.241,25.95,25.95,,789,424,280,310
6,0.0354,0.01991,0.00814,0.00865,,24.861,30.682,25.95,25.95,,721,360,280,310
7,0.03498,0.02071,0.00776,0.00982,,24.695,30.562,25.95,25.95,,744,390,280,310
8,0.03328,0.01945,0.00802,0.0219,,24.525,29.428,25.95,25.95,,735,388,280,310
9,0.04352,0.02854,0.00775,0.00845,,24.821,31.385,25.95,25.95,,667,378,280,310
10,0.0439,0.02792,0.00788,0.00867,,24.781,31.523,25.95,25.95,,773,457,280,310
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1.659018987,5.288776797,4.787671233,,,,,,,,,,
,,1.717579251,5.496706192,4.862470862,,,,,,,,,,
,,1.634137559,4.542542543,4.371868979,,,,,,,,,,
,,1.580494322,6.145454545,5.613285884,,,,,,,,,,
,,1.648108797,4.723507917,3.5,,,,,,,,,,
,,1.778001005,4.348894349,4.092485549,,,,,,,,,,
,,1.689039112,4.507731959,3.562118126,,,,,,,,,,
,,1.711053985,4.149625935,1.519634703,,,,,,,,,,
,,1.524877365,5.615483871,5.150295858,,,,,,,,,,
,,1.57234957,5.57106599,5.06343714,,,,,,,,,,
