RRT_TF,Astar_TF,Dijkstra_TF,RRT_PD,Astar_PD,Dijkstra_PD,AVERAGE,,,,,
1.604447439,4.148083624,4.668627451,5.337,0.056,0.056,RRT_TF,Astar_TF,Dijkstra_TF,RRT_PD,Astar_PD,Dijkstra_PD
1.7616248,4.021964613,3.99031477,6.857,1.62,1.62,1.690274779,4.838466789,4.341896833,5.52216,1.13412,1.13412
1.641295547,5.180830671,3.668778281,4.404,1.417,1.417,#NAME?,,,,,
1.818117229,3.486376022,2.012583563,5.882,0.905,0.905,,,,,,
1.516496701,6.609150327,6.639527249,6.329,1.506,1.506,,,,,,
1.848449612,3.382269504,2.821893491,3.785,1.992,1.992,,,,,,
1.65187533,4.180481283,4.117182357,5.52,2.181,2.181,,,,,,
1.937528922,2.813844086,2.871742112,5.404,1.573,1.573,,,,,,
1.722651934,5.660856935,4.718523002,5.813,-0.162,-0.162,,,,,,
1.816787265,4.470797721,3.998089172,4.947,0.649,0.649,,,,,,
1.660097324,4.60391363,4.293895532,6.869,1.287,1.287,,,,,,
1.616168478,5.42325228,4.643461288,5.449,1.613,1.613,,,,,,
1.733589673,4.587209302,4.276422764,4.04,0.778,0.778,,,,,,
1.665953724,5.793103448,5.506426735,4.476,1.667,1.667,,,,,,
1.712988651,4.53102068,4.746331237,7.308,0.523,0.523,,,,,,
1.616512592,5.145611365,4.656565657,3.797,1.612,1.612,,,,,,
1.717263253,8.32967033,7.504950495,5.862,0.394,0.394,,,,,,
1.760540184,3.823319027,2.611138251,8.212,0.971,0.971,,,,,,
1.651397977,3.904360056,3.558974359,5.726,-0.046,-0.046,,,,,,
1.625594377,5.592460882,5.166228647,6.169,0.833,0.833,,,,,,
1.521687564,6.550692925,5.188330445,5.039,1.374,1.374,,,,,,
1.724886878,3.510128913,3.547146402,3.637,1.73,1.73,,,,,,
1.64761054,5.210451977,4.649023314,6.426,1.065,1.065,,,,,,
1.68877551,5.286805556,4.892673522,5.363,1.254,1.254,,,,,,
1.594527976,4.715014577,3.798590722,5.403,1.561,1.561,,,,,,
